ticker,sucesso,erro,preco_atual,valor_combinado,desconto_percentual,divergencia_percentual_metodos,metodos_utilizados,graham_valor_justo,bazin_preco_teto,bazin_razao_dividendos_percentual,fcd_valor_justo,ano_referencia_fcd,data_balanco_fundamentus,beta_utilizado,aviso_desconto_extremo
B3SA3,True,,18.040000915527344,9.505072818087276,-47.3111289594997,60.85780401162264,"graham,bazin,fcd",9.40656685512839,15.043700000000001,224.74528160948162,4.06495159913344,2025.0,2026-06-30,1.6079218427660291,
IGTI11,True,,26.799999237060547,13.343984324343882,-50.2090122976904,112.14800825041307,"graham,fcd",28.371817002088534,,,-1.683848353400771,2025.0,2026-06-30,1.2969477378834042,
GGBR4,True,,25.25,11.956142110419846,-52.648942136951106,117.89093023221264,"graham,bazin,fcd",26.234609774113277,13.166666666666668,59.232378367435686,-3.5328501095204135,2025.0,2026-06-30,0.8848291515421124,
CPFE3,True,,45.060001373291016,20.581031101949794,-54.32527635440986,122.05446207778779,"graham,fcd",48.07990224615686,,,-6.917840042257275,2025.0,2026-06-30,0.9564453374287358,
GOAU4,True,,11.319999694824219,5.06347047851614,-55.269694213584806,169.65867825159825,"graham,bazin,fcd",14.01035331460274,6.375066666666667,40.79942572075566,-5.195008545720988,2025.0,2026-06-30,0.9339211303041344,
MOTV3,True,,16.469999313354492,7.083402449347754,-56.99209019635922,201.72277010394845,"graham,bazin,fcd",19.475523099521613,15.522900000000002,285.958944065434,-13.748215751478353,2025.0,2026-06-30,1.2802741603782064,
ISAE4,True,,27.079999923706055,10.251903333772894,-62.14215892667602,318.0782172554853,"graham,fcd",53.31969382882839,,,-32.8158871612826,2025.0,2026-06-30,0.9695638715693371,
ENGI11,True,,52.150001525878906,18.75551089422944,-64.0354547546423,124.43486088803517,"graham,fcd",51.20190182014726,,,-13.690880031688378,2025.0,2026-06-30,1.3090934366405036,
CMIN3,True,,5.099999904632568,1.7980197805031677,-64.74470952695621,217.23417006421255,"graham,bazin,fcd",3.6140351409470277,6.429483333333334,55.30302270071894,-4.6494591327708585,2025.0,2026-06-30,1.1195629568386871,
WEGE3,True,,51.15999984741211,17.601668501798912,-65.59486209089721,58.47012504630774,"graham,bazin,fcd",12.26895472320279,35.22468333333333,343.7672413793103,5.311367448860619,2025.0,2026-06-30,0.7447670697370652,
RADL3,True,,19.5,6.120556485941723,-68.6125308413245,30.494323684269396,"graham,bazin,fcd",8.489522954795516,7.329016666666668,147.25426702876837,2.5431298363629837,2025.0,2026-06-30,1.2070572779987232,
EMBJ3,True,,98.16999816894531,28.774803742901568,-70.68880077456896,25.716106281188438,"graham,fcd",41.39755427558493,,,16.15205321021821,2025.0,2026-06-30,0.785773892361812,
CPLE3,True,,15.789999961853027,4.521289237821101,-71.36612255386918,117.84107100572167,"graham,fcd",13.824841771246426,,,-4.782263295604223,2025.0,2026-06-30,1.102944245689712,
